Fiscal Year Ending,Department/Agency,Merchant Name,Transaction Date,Transaction Amount
2018,District Attorney,AMAZON MKTPLACE PMTS,06/29/2018,2874.09
2018,Metro Action Commission,NEWKS - WEST END,06/29/2018,220.49
2018,Parks and Recreation,WAL-MART #0659,06/29/2018,998.16
2018,District Attorney,DELTA,06/29/2018,250.00
2018,Parks and Recreation,WM SUPERCENTER #4482,06/29/2018,26.78
2018,Office of Family Safety,GOVCNCTN,06/29/2018,416.09
2018,District Attorney,DELTA,06/29/2018,145.00
2018,Office of Family Safety,HAMPTON INN HOTELS,06/29/2018,100.90
2018,Health,APHA ANNUAL MEETING,06/29/2018,850.00
2018,Farmers Market,SIMON'S PRODUCE,06/29/2018,9.00
2018,Water Services,BDI USA,06/29/2018,458.72
2018,District Attorney,AMAZON MKTPLACE PMTS,06/29/2018,10.71
2018,Parks and Recreation,PLASTIC SUPPLY AND MAN,06/29/2018,25.00
2018,Tennessee State Fair,FP MAILING SOLUTIONS,06/29/2018,412.50
2018,Planning,DOMINO'S 8713,06/29/2018,81.94
2018,Health,APHA ANNUAL MEETING,06/29/2018,850.00
2018,Parks and Recreation,ENTERPRISE RENT-A-CAR,06/29/2018,155.98
2018,Sheriff,AMAZON MKTPLACE PMTS,06/29/2018,-2.77
2018,Information Technology Services,AMAZON MKTPLACE PMTS W,06/29/2018,338.82
2018,Municipal Auditorium,THE TAMIS CORPORATION,06/29/2018,785.00
2018,Parks and Recreation,BEST BUY MHT  00011304,06/29/2018,839.92
2018,Metro Action Commission,MARRIOTT,06/29/2018,573.04
2018,Office of Family Safety,HAMPTON INN HOTELS,06/29/2018,302.70
2018,Planning,PUBLIX #1426,06/29/2018,11.97
2018,Sheriff,FTCKY CPC,06/29/2018,175.00
2018,Parks and Recreation,BOOKS A MILLION 662,06/29/2018,67.95
2018,Metro Action Commission,LOVES TRAVEL S00004291,06/29/2018,89.95
2018,Sheriff,SOUTHWEST AIRLINES,06/29/2018,355.96
2018,Health,WM SUPERCENTER #5058,06/29/2018,20.60
2018,Police,NAT ORG VICTIM ASSISTA,06/28/2018,460.00
2018,Police,BWI ETC,06/28/2018,43.40
2018,Public Defender,4007 JNN CHARLOTTE PIK,06/28/2018,17.01
2018,Health,NATIONAL ASSOC OF LOCA,06/28/2018,475.00
2018,Internal Audit,ACFE,06/28/2018,795.00
2018,Social Services,WAL-MART #695,06/28/2018,1428.82
2018,Public Defender,4007 JNN CHARLOTTE PIK,06/28/2018,85.05
2018,State Trial Courts,MICHAELANGELO'S PIZZA,06/28/2018,144.40
2018,Parks and Recreation,ADVENTURE WORKS-NASHVI,06/28/2018,105.00
2018,Internal Audit,AICPA   ORDER,06/28/2018,275.00
2018,Health,SOUTHWEST AIRLINES,06/28/2018,245.96
2018,Police,4IMPRINT,06/28/2018,996.28
2018,Police,NAT ORG VICTIM ASSISTA,06/28/2018,460.00
2018,State Trial Courts,MICHAELANGELO'S PIZZA,06/28/2018,135.15
2018,Office of Family Safety,HAMPTON INN HOTELS,06/28/2018,201.80
2018,Sheriff,PAYPAL  LALLEMANDPI,06/28/2018,43.95
2018,Health,AGENT FEE 89007371241143,06/28/2018,35.00
2018,Internal Audit,LULUCOM,06/28/2018,173.47
2018,Library,WESTIN,06/28/2018,975.68
2018,Police,KROGER #518,06/28/2018,35.48
2018,Health,THE HOME DEPOT #0732,06/28/2018,13.75
2018,Police,PAPA JOHNS #75,06/28/2018,179.28
2018,Public Defender,4007 JNN CHARLOTTE PIK,06/28/2018,11.33
2018,Criminal Court Clerk,NTL CTR FOR ST CTS,06/28/2018,550.00
2018,Sheriff,AMERICAN CORRECTIONAL,06/28/2018,310.00
2018,Health,AGENT FEE 89007371288172,06/28/2018,35.00
2018,Juvenile Court Judge,SUBWAY        03166790,06/28/2018,28.95
2018,Health,HOLIDAY INNS,06/28/2018,111.38
2018,Police,MISTER CAR WASH #84QPS,06/28/2018,7.00
2018,Health,AGENT FEE 89007371288205,06/28/2018,35.00
2018,Internal Audit,ACFE,06/28/2018,195.00
2018,Sheriff,AMAZON MKTPLACE PMTS,06/28/2018,32.76
2018,Health,2018 BEST FRIENDS NATI,06/28/2018,-162.50
2018,Office of Family Safety,HAMPTON INN HOTELS,06/28/2018,201.80
2018,Health,SOUTHWEST AIRLINES,06/28/2018,368.96
2018,Health,SOUTHWEST AIRLINES,06/28/2018,171.96
2018,Water Services,WAL-MART #0695,06/28/2018,89.71
2018,Sheriff,AMERICAN CORRECTIONAL,06/28/2018,65.00
2018,Library,THE HOME DEPOT #0778,06/28/2018,7.25
2018,Public Defender,4007 JNN CHARLOTTE PIK,06/28/2018,52.92
2018,Police,SOUTHWEST AIRLINES,06/28/2018,469.78
2018,Health,NATIONAL MINORITY AIDS,06/28/2018,1410.00
2018,Public Defender,4007 JNN CHARLOTTE PIK,06/28/2018,5.68
2018,State Trial Courts,MICHAELANGELO'S PIZZA,06/27/2018,109.92
2018,Office of Family Safety,NATIONAL COALITION AGA,06/27/2018,750.00
